,count
"(-73.99497729772911, 40.7046049012552, -73.994636034898, 40.704334402800356)",5181
"(-73.994636034898, 40.704334402800356, -73.99338985384722, 40.70333187851451)",5181
"(-74.00545000674387, 40.711305090971614, -74.00532769155686, 40.711192604892)",2230
"(-74.00599445396749, 40.71157526666082, -74.00607959093682, 40.71151464071383)",5596
"(-74.00558932964128, 40.71217005364715, -74.00485768104453, 40.71245254101437)",8279
"(-74.00558932964128, 40.71217005364715, -74.00574044701281, 40.712088757112944)",8279
"(-74.00485768104453, 40.71245254101437, -74.00470652318825, 40.71257401537005)",1897
"(-74.00485768104453, 40.71245254101437, -74.00457118009844, 40.71241641795732)",7808
"(-74.00405900736875, 40.713134789760524, -74.00360280435874, 40.713645430424215)",5269
"(-74.00405900736875, 40.713134789760524, -74.00421405324347, 40.71298074285387)",5269
"(-74.00360280435874, 40.713645430424215, -74.00439989870408, 40.71399166700272)",4205
"(-74.00360280435874, 40.713645430424215, -74.00309374093763, 40.713957778280175)",2455
"(-74.00360280435874, 40.713645430424215, -74.00340361849227, 40.71415051478918)",6015
"(-74.00439989870408, 40.71399166700272, -74.00446683755874, 40.71402247088709)",4205
"(-74.00309374093763, 40.713957778280175, -74.0028332138754, 40.71414433022602)",2455
"(-74.00340361849227, 40.71415051478918, -74.00318118855122, 40.71470655029649)",6015
"(-74.00318118855122, 40.71470655029649, -74.00302949478385, 40.71558506522667)",6015
"(-74.00302949478385, 40.71558506522667, -74.00280723437513, 40.71588619247816)",6015
"(-74.00280723437513, 40.71588619247816, -74.00255806000575, 40.716180773180604)",6015
"(-74.00255806000575, 40.716180773180604, -74.00207771771657, 40.7167308954958)",6015
"(-74.00207771771657, 40.7167308954958, -74.00158824870815, 40.717291894054014)",6015
"(-74.00158824870815, 40.717291894054014, -74.00133591124501, 40.717550898351845)",6015
"(-74.00098818087194, 40.717931901336186, -74.00053195572396, 40.71843023844437)",6015
"(-74.00098818087194, 40.717931901336186, -74.00133591124501, 40.717550898351845)",6015
"(-74.00053195572396, 40.71843023844437, -73.99984031446063, 40.719192980422534)",6015
"(-73.99984031446063, 40.719192980422534, -73.99906145060194, 40.72004430063087)",7853
"(-74.00242728657231, 40.71462671140162, -74.00211455796949, 40.71515891017348)",2455
"(-74.00242728657231, 40.71462671140162, -74.0025980381506, 40.714312726718596)",2455
"(-74.00574044701281, 40.712088757112944, -74.00606917563722, 40.71200842820671)",8279
